CONFIDENTIAL GBP MASTER PRICE LIST 1 JANUARY 2025 - CURRENT PRODUCTS,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK AVAILABILITY,,,,,,,,,,,,
"We aim for 100% immediAUe ex-stock availability of all products in this price list, with the exception of 'bespoke' products/items - which may have a short lead time (please ask for this when placing your order).",,,,,,,,,,,,
,,,,,,,,,,,,
BACKEYE360 Select - Complete Systems,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,6550,SE-7104HF-100,"Backeye®360 AHD BN360 Kit, 10.4 Inch Monitor - Large Rigids",2488.51,2239.66,1990.81,1741.96,1617.53,1493.11,1368.68,1244.26,1119.83
A,7297,SE-7104HR-300,Backeye®360 AHD Recordable Camera Monitor System - Large Rigids,2788.68,2509.81,2230.94,1952.08,1812.64,1673.21,1533.77,1394.34,1180.95
A,5379,SE-770-100,"Backeye®360 BN360 Kit, 7 Inch Monitor - Large Rigids",1819.23,1637.30,1455.38,1273.46,1182.50,1091.54,1000.57,909.61,818.65
A,5592,SE-770-101,"Backeye®360 BN360 Kit, 7 Inch Monitor, 4 x 10m cables",1819.23,1637.30,1455.38,1273.46,1182.50,1091.54,1000.57,909.61,818.65
A,5382,SE-770-110,"Backeye®360 BN-360 Kit, 7 Inch Monitor - Large Rigids",1815.58,1634.02,1452.46,1270.90,1180.12,1089.35,998.57,907.79,817.01
A,5381,SE-770-111,"Backeye®360 BN-360 Kit, 7 Inch Monitor - Large Rigids",1842.35,1658.11,1473.88,1289.64,1197.53,1105.41,1013.29,921.17,829.06
A,7296,SE-770HR-300 ,Backeye®360 AHD Recordable Camera Monitor System for Large Rigid Vehicles,2235.47,2011.93,1788.38,1564.83,1453.06,1341.28,1229.51,1117.74,957.91
A,8142,SE-770HR-310 ,Backeye®360 AHD Recordable Camera Monitor System for Large Rigid Vehicles,2092.24,1883.02,1673.79,1464.57,1359.96,1255.35,1150.73,1046.12,930.28
,,,,,,,,,,,,
Backeye360 - Optional Parts,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,5200,BN360-200,"Backeye®360 BN360-200, ECU + 4 x BN360-100C Cameras & Housings",1375.07,1237.56,1100.05,962.55,893.79,825.04,756.29,687.53,618.78
A,5408,BN360-201,Backeye®360 BN360-200 ECU + 4 x BN360-100C Cameras & Housing + Carling Switch & Black Ancillaries,1526.13,1373.52,1220.90,1068.29,991.98,915.68,839.37,763.06,686.76
A,5800A,BN360-300,"Backeye®360 BN360-300 HD, ECU + 4 x HD Cameras",1526.13,1373.52,1220.90,1068.29,991.98,915.68,839.37,763.06,686.76
A,6354,BN360-201(EX-CBL),Backeye®360 BN360-200 kit with  Carling Switch & Black Ancillaries (Carling Harness Removed),1407.44,1266.69,1125.95,985.21,914.83,844.46,774.09,703.72,633.35
A,5098,BN360-CP-CBL,Backeye®360 BN360 Carling Switch Harness,118.69,106.82,94.95,83.08,77.15,71.21,65.28,59.35,53.41
A,4649A,BN360-100C-BKT01,Backeye®360 BN360 Adaptable Camera Mount Bracket,6.21,5.59,4.97,4.35,4.03,3.72,3.41,3.10,2.79
A,4714A,BN360-100C-BKT02,Backeye®360 BN360 Adjustable Camera Mount Bracket,39.86,35.88,31.89,27.90,25.91,23.92,21.92,19.93,17.94
A,6363,BN360-100C-BKT02-B,Backeye®360 BN360 Adjustable Camera Mount Bracket (Black),47.36,42.62,37.88,33.15,30.78,28.41,26.05,23.68,21.31
A,4743A,BN360-100C-BKT03,Backeye®360 BN360 Camera Deflector Shield,15.29,13.76,12.23,10.70,9.94,9.17,8.41,7.64,6.88
A,5645,BN360-100C-SC-GF,Backeye®360 BN360 Single Camera Gasket Fitting Kit,9.21,8.29,7.37,6.45,5.99,5.53,5.07,4.60,4.14
A,4701,BE360-CD,Backeye®360 BN360 & ASL360 Camera Deflector Bracket  for BN360-200,14.17,12.75,11.33,9.92,9.21,8.50,7.79,7.08,6.38
A,4723,BE360-Enclosure,Backeye®360 IP66 Enclosure Kit,175.69,158.12,140.55,122.98,114.20,105.42,96.63,87.85,123.56
A,4493,BN360-L120,Backeye®360 BN360 Camera Cable - 20m,70.84,63.76,56.67,49.59,46.05,42.51,38.96,35.42,31.88
A,4495,BN360-L115,Backeye®360 BN360 Camera Cable - 15m,56.67,51.01,45.34,39.67,36.84,34.00,31.17,28.34,25.50
A,4496,BN360-L110,Backeye®360 BN360 Camera Cable - 10m,42.51,38.26,34.00,29.75,27.63,25.50,23.38,21.25,19.13
A,4498,BN360-L105,Backeye®360 BN360 Camera Cable - 5m,28.34,25.50,22.67,19.84,18.42,17.00,15.59,14.17,12.75
A,5845,BN360-L103,Backeye®360 BN360 Camera Cable - 3m,24.14,21.73,19.31,16.90,15.69,14.49,13.28,12.07,10.86
A,4499,BN360-L1025,Backeye®360 BN360 Camera Cable - 2.5m,19.84,17.85,15.87,13.89,12.89,11.90,10.91,9.92,8.93
A,4698,BN360-VBV-L4015,"Backeye®360 BN360 Video Out Cable for BN360-200, BN360-300",12.04,10.84,9.63,8.43,7.83,7.22,6.62,6.02,5.42
A,5809,BN360-H320,Backeye®360 BN360-300 HD Camera Cable - 20m,79.15,71.23,63.32,55.40,51.44,47.49,43.53,39.57,35.62
A,5810,BN360-H315,Backeye®360 BN360-300 HD Camera Cable - 15m,63.09,56.79,50.48,44.17,41.01,37.86,34.70,31.55,28.39
A,5811,BN360-H310,Backeye®360 BN360-300 HD Camera Cable - 10m,47.98,43.18,38.39,33.59,31.19,28.79,26.39,23.99,21.59
A,5812,BN360-H305,Backeye®360 BN360-300 HD Camera Cable - 5m,31.60,28.44,25.28,22.12,20.54,18.96,17.38,15.80,14.22
A,5813,BN360-H3025,Backeye®360 BN360-300 HD Camera Cable - 2.5m,22.67,20.40,18.14,15.87,14.74,13.60,12.47,11.34,10.20
A,A2150,AC-016,"CMS Adapter Cable, AV to Elite Camera Input (AV to Male 4-Pin DIN)",14.17,12.75,11.33,9.92,9.21,8.50,7.79,7.08,6.37
A,4340,AC-054,"CMS Adapter Cable, BNC B to Phono A + 2.5m Extension Cable",6.97,6.27,5.58,4.88,4.53,4.18,3.83,3.49,8.17
A,4948,AC-064,"CMS Adapter Cable, BE Camera to BNC Adapter Cable",10.29,9.26,8.23,7.20,6.69,6.17,5.66,5.14,4.63
A,7524,VBV-360-1000-AI,Backeye®360 VBV-360-1000-AI Camera ,2661.95,2395.76,2129.56,1863.37,1730.27,1597.17,1464.07,1330.98,1197.88
A,8123,VBV-360-1000-AI-NC,Backeye®360 VBV-360-1000-AI Camera no Extension Cables,2448.99,2204.09,1959.19,1714.29,1591.84,1469.39,1346.94,1224.49,1102.05
