Kategori;Parça No (Part No);Model;Ürün Açıklaması (Description);Liste Fiyatı (GBP)
BACKEYE360 Select - Complete Systems;6550;SE-7104HF-100;Backeye®360 AHD BN360 Kit, 10.4 Inch Monitor - Large Rigids;2488.51
BACKEYE360 Select - Complete Systems;7297;SE-7104HR-300;Backeye®360 AHD Recordable Camera Monitor System - Large Rigids;2788.68
BACKEYE360 Select - Complete Systems;5379;SE-770-100;Backeye®360 BN360 Kit, 7 Inch Monitor - Large Rigids;1819.23
BACKEYE360 Select - Complete Systems;5592;SE-770-101;Backeye®360 BN360 Kit, 7 Inch Monitor, 4 x 10m cables;1819.23
BACKEYE360 Select - Complete Systems;5382;SE-770-110;Backeye®360 BN-360 Kit, 7 Inch Monitor - Large Rigids;1815.58
BACKEYE360 Select - Complete Systems;5381;SE-770-111;Backeye®360 BN-360 Kit, 7 Inch Monitor - Large Rigids;1842.35
BACKEYE360 Select - Complete Systems;7296;SE-770HR-300;Backeye®360 AHD Recordable Camera Monitor System for Large Rigid Vehicles;2235.47
BACKEYE360 Select - Complete Systems;8142;SE-770HR-310;Backeye®360 AHD Recordable Camera Monitor System for Large Rigid Vehicles;2092.24
Backeye360 - Optional Parts;5200;BN360-200;Backeye®360 BN360-200, ECU + 4 x BN360-100C Cameras & Housings;1375.07
Backeye360 - Optional Parts;5408;BN360-201;Backeye®360 BN360-200 ECU + 4 x BN360-100C Cameras & Housing + Carling Switch & Black Ancillaries;1526.13
Backeye360 - Optional Parts;5800A;BN360-300;Backeye®360 BN360-300 HD, ECU + 4 x HD Cameras;1526.13
Backeye360 - Optional Parts;6354;BN360-201(EX-CBL);Backeye®360 BN360-200 kit with Carling Switch & Black Ancillaries (Carling Harness Removed);1407.44
Backeye360 - Optional Parts;5098;BN360-CP-CBL;Backeye®360 BN360 Carling Switch Harness;118.69
Backeye360 - Optional Parts;4649A;BN360-100C-BKT01;Backeye®360 BN360 Adaptable Camera Mount Bracket;6.21
Backeye360 - Optional Parts;4714A;BN360-100C-BKT02;Backeye®360 BN360 Adjustable Camera Mount Bracket;39.86
Backeye360 - Optional Parts;6363;BN360-100C-BKT02-B;Backeye®360 BN360 Adjustable Camera Mount Bracket (Black);47.36
Backeye360 - Optional Parts;4743A;BN360-100C-BKT03;Backeye®360 BN360 Camera Deflector Shield;15.29
Backeye360 - Optional Parts;5645;BN360-100C-SC-GF;Backeye®360 BN360 Single Camera Gasket Fitting Kit;9.21
Backeye360 - Optional Parts;4701;BE360-CD;Backeye®360 BN360 & ASL360 Camera Deflector Bracket for BN360-200;14.17
Backeye360 - Optional Parts;4723;BE360-Enclosure;Backeye®360 IP66 Enclosure Kit;175.69
Backeye360 - Optional Parts;4493;BN360-L120;Backeye®360 BN360 Camera Cable - 20m;70.84
Backeye360 - Optional Parts;4495;BN360-L115;Backeye®360 BN360 Camera Cable - 15m;56.67
Backeye360 - Optional Parts;4496;BN360-L110;Backeye®360 BN360 Camera Cable - 10m;42.51
Backeye360 - Optional Parts;4498;BN360-L105;Backeye®360 BN360 Camera Cable - 5m;28.34
Backeye360 - Optional Parts;5845;BN360-L103;Backeye®360 BN360 Camera Cable - 3m;24.14
Backeye360 - Optional Parts;4499;BN360-L1025;Backeye®360 BN360 Camera Cable - 2.5m;19.84
Backeye360 - Optional Parts;4698;BN360-VBV-L4015;Backeye®360 BN360 Video Out Cable for BN360-200, BN360-300;12.04
Backeye360 - Optional Parts;5809;BN360-H320;Backeye®360 BN360-300 HD Camera Cable - 20m;79.15
Backeye360 - Optional Parts;5810;BN360-H315;Backeye®360 BN360-300 HD Camera Cable - 15m;63.09
Backeye360 - Optional Parts;5811;BN360-H310;Backeye®360 BN360-300 HD Camera Cable - 10m;47.98
Backeye360 - Optional Parts;5812;BN360-H305;Backeye®360 BN360-300 HD Camera Cable - 5m;31.60
Backeye360 - Optional Parts;5813;BN360-H3025;Backeye®360 BN360-300 HD Camera Cable - 2.5m;22.67
Backeye360 - Optional Parts;A2150;AC-016;CMS Adapter Cable, AV to Elite Camera Input (AV to Male 4-Pin DIN);14.17
Backeye360 - Optional Parts;4340;AC-054;CMS Adapter Cable, BNC B to Phono A + 2.5m Extension Cable;6.97
Backeye360 - Optional Parts;4948;AC-064;CMS Adapter Cable, BE Camera to BNC Adapter Cable;10.29
Backeye360 - Optional Parts;7524;VBV-360-1000-AI;Backeye®360 VBV-360-1000-AI Camera;2661.95
Backeye360 - Optional Parts;8123;VBV-360-1000-AI-NC;Backeye®360 VBV-360-1000-AI Camera no Extension Cables;2448.99
Backeye360 - Optional Parts;S7525;VBV-360-1000-ECU-AI;Backeye®360 Spare VBV-360-1000 AI ECU;620.80
Backeye360 - Optional Parts;S7526;VBV-2240-AI-D04;Backeye®360 Spare AI-FHD Camera;435.75
Backeye360 - Optional Parts;S7529;VBV-360-AI-RC;Backeye®360 VBV-360-1000-AI Remote Control;8.98
Backeye360 - Optional Parts;7626;VBV-360-CALMAT-PRE;Backeye®360 VBV-360-1000-ai Calibration Mat, Premium x 4;265.65
Backeye360 - Optional Parts;7627;VBV-360-CALMAT-STD;Backeye®360 VBV-360-1000-ai Calibration Mat, Standard x 4;52.60
Backeye360 - Optional Parts;8036;VBV-360-1000ECU-VI;Backeye®360 Video Input Harness - 4 Pin;34.90
Backeye360 - Optional Parts;8037;VBV-22X0C-CA(No Alm);VBV-22X0C-CA (No Alarm);11.30
Backeye360 - Optional Parts;8041;AI-360MDR-4PIN-KIT;Backeye®AI-360 MDR 4 Pin Kit;80.10
Backeye360 - Optional Parts;S7590;VBV-360-1000-IR;Backeye®360 IR Receiver;8.58
Backeye360 - Optional Parts;S7591;VBV-360-1000-ECU_PH;Backeye®360 Power Harness;5.50
Backeye360 - Optional Parts;S7592;VBV-360-1000-ECU-VI;Backeye®360 Video Input Harness;61.05
Backeye360 - Optional Parts;S7593;VBV-360-1000-ECU-VO;Backeye®360 Video Output Harness;41.56
Backeye360 - Optional Parts;S7594;VBV-360-1000-ECU-VOC;Backeye®360 Video Output Cable;27.45
Backeye360 - Optional Parts;S7653;VBV-222XC-AI-DVS-RM;Rubber Mounting Mat for VBV-2220C-AI-DVS & VBV-2240C-AI-D04;9.60
Calibration tools;5405;BN360-CK-02;Backeye®360 BN360-200 Calibration Kit;467.57
Calibration tools;4557;BN360-CAL-MAT;Backeye®360 BN360-200, BN360-300 Calibration Mat;14.17
Calibration tools;4443;SLP1;Backeye®360 Laser Level;77.93
Calibration tools;5210B;BN360-200-USB;Backeye®360 BN360-200 Installation Software USB;0.00
Calibration tools;4520;BN360-CT-01;Backeye®360 BN360-200, BN360-300-ECU-10 Calibration & Service Tool;410.89
Camera Monitor Systems (CMS);A3231;BE-870L-000;CMS Elite, 7 Inch LCD, Single Camera - Large Rigids (PAL);783.93
Camera Monitor Systems (CMS);2928B;BE-870L-010;CMS Elite, 7 Inch LCD, Single Camera - with KET Connector;846.83
Camera Monitor Systems (CMS);A3131;BE-870L-000N;CMS Elite, 7 Inch LCD, Single Camera - Large Rigids (NTSC);783.93
Camera Monitor Systems (CMS);4397;BE-870L-090;CMS Elite, 7 Inch LCD, Single IP69K Camera - Large Rigid (PAL);837.23
Camera Monitor Systems (CMS);4032A;BE-870L-100;CMS Elite, 7 Inch LCD, Single Shutter Camera - Large Rigids (PAL);941.89
